,행정구역,2019년02월_계_총인구수,2019년02월_계_연령구간인구수,2019년02월_계_0세,2019년02월_계_1세,2019년02월_계_2세,2019년02월_계_3세,2019년02월_계_4세,2019년02월_계_5세,2019년02월_계_6세,2019년02월_계_7세,2019년02월_계_8세,2019년02월_계_9세,2019년02월_계_10세,2019년02월_계_11세,2019년02월_계_12세,2019년02월_계_13세,2019년02월_계_14세,2019년02월_계_15세,2019년02월_계_16세,2019년02월_계_17세,2019년02월_계_18세,2019년02월_계_19세,2019년02월_계_20세,2019년02월_계_21세,2019년02월_계_22세,2019년02월_계_23세,2019년02월_계_24세,2019년02월_계_25세,2019년02월_계_26세,2019년02월_계_27세,2019년02월_계_28세,2019년02월_계_29세,2019년02월_계_30세,2019년02월_계_31세,2019년02월_계_32세,2019년02월_계_33세,2019년02월_계_34세,2019년02월_계_35세,2019년02월_계_36세,2019년02월_계_37세,2019년02월_계_38세,2019년02월_계_39세,2019년02월_계_40세,2019년02월_계_41세,2019년02월_계_42세,2019년02월_계_43세,2019년02월_계_44세,2019년02월_계_45세,2019년02월_계_46세,2019년02월_계_47세,2019년02월_계_48세,2019년02월_계_49세,2019년02월_계_50세,2019년02월_계_51세,2019년02월_계_52세,2019년02월_계_53세,2019년02월_계_54세,2019년02월_계_55세,2019년02월_계_56세,2019년02월_계_57세,2019년02월_계_58세,2019년02월_계_59세,2019년02월_계_60세,2019년02월_계_61세,2019년02월_계_62세,2019년02월_계_63세,2019년02월_계_64세,2019년02월_계_65세,2019년02월_계_66세,2019년02월_계_67세,2019년02월_계_68세,2019년02월_계_69세,2019년02월_계_70세,2019년02월_계_71세,2019년02월_계_72세,2019년02월_계_73세,2019년02월_계_74세,2019년02월_계_75세,2019년02월_계_76세,2019년02월_계_77세,2019년02월_계_78세,2019년02월_계_79세,2019년02월_계_80세,2019년02월_계_81세,2019년02월_계_82세,2019년02월_계_83세,2019년02월_계_84세,2019년02월_계_85세,2019년02월_계_86세,2019년02월_계_87세,2019년02월_계_88세,2019년02월_계_89세,2019년02월_계_90세,2019년02월_계_91세,2019년02월_계_92세,2019년02월_계_93세,2019년02월_계_94세,2019년02월_계_95세,2019년02월_계_96세,2019년02월_계_97세,2019년02월_계_98세,2019년02월_계_99세,2019년02월_계_100세 이상,2019년02월_남_총인구수,2019년02월_남_연령구간인구수,2019년02월_남_0세,2019년02월_남_1세,2019년02월_남_2세,2019년02월_남_3세,2019년02월_남_4세,2019년02월_남_5세,2019년02월_남_6세,2019년02월_남_7세,2019년02월_남_8세,2019년02월_남_9세,2019년02월_남_10세,2019년02월_남_11세,2019년02월_남_12세,2019년02월_남_13세,2019년02월_남_14세,2019년02월_남_15세,2019년02월_남_16세,2019년02월_남_17세,2019년02월_남_18세,2019년02월_남_19세,2019년02월_남_20세,2019년02월_남_21세,2019년02월_남_22세,2019년02월_남_23세,2019년02월_남_24세,2019년02월_남_25세,2019년02월_남_26세,2019년02월_남_27세,2019년02월_남_28세,2019년02월_남_29세,2019년02월_남_30세,2019년02월_남_31세,2019년02월_남_32세,2019년02월_남_33세,2019년02월_남_34세,2019년02월_남_35세,2019년02월_남_36세,2019년02월_남_37세,2019년02월_남_38세,2019년02월_남_39세,2019년02월_남_40세,2019년02월_남_41세,2019년02월_남_42세,2019년02월_남_43세,2019년02월_남_44세,2019년02월_남_45세,2019년02월_남_46세,2019년02월_남_47세,2019년02월_남_48세,2019년02월_남_49세,2019년02월_남_50세,2019년02월_남_51세,2019년02월_남_52세,2019년02월_남_53세,2019년02월_남_54세,2019년02월_남_55세,2019년02월_남_56세,2019년02월_남_57세,2019년02월_남_58세,2019년02월_남_59세,2019년02월_남_60세,2019년02월_남_61세,2019년02월_남_62세,2019년02월_남_63세,2019년02월_남_64세,2019년02월_남_65세,2019년02월_남_66세,2019년02월_남_67세,2019년02월_남_68세,2019년02월_남_69세,2019년02월_남_70세,2019년02월_남_71세,2019년02월_남_72세,2019년02월_남_73세,2019년02월_남_74세,2019년02월_남_75세,2019년02월_남_76세,2019년02월_남_77세,2019년02월_남_78세,2019년02월_남_79세,2019년02월_남_80세,2019년02월_남_81세,2019년02월_남_82세,2019년02월_남_83세,2019년02월_남_84세,2019년02월_남_85세,2019년02월_남_86세,2019년02월_남_87세,2019년02월_남_88세,2019년02월_남_89세,2019년02월_남_90세,2019년02월_남_91세,2019년02월_남_92세,2019년02월_남_93세,2019년02월_남_94세,2019년02월_남_95세,2019년02월_남_96세,2019년02월_남_97세,2019년02월_남_98세,2019년02월_남_99세,2019년02월_남_100세 이상,2019년02월_여_총인구수,2019년02월_여_연령구간인구수,2019년02월_여_0세,2019년02월_여_1세,2019년02월_여_2세,2019년02월_여_3세,2019년02월_여_4세,2019년02월_여_5세,2019년02월_여_6세,2019년02월_여_7세,2019년02월_여_8세,2019년02월_여_9세,2019년02월_여_10세,2019년02월_여_11세,2019년02월_여_12세,2019년02월_여_13세,2019년02월_여_14세,2019년02월_여_15세,2019년02월_여_16세,2019년02월_여_17세,2019년02월_여_18세,2019년02월_여_19세,2019년02월_여_20세,2019년02월_여_21세,2019년02월_여_22세,2019년02월_여_23세,2019년02월_여_24세,2019년02월_여_25세,2019년02월_여_26세,2019년02월_여_27세,2019년02월_여_28세,2019년02월_여_29세,2019년02월_여_30세,2019년02월_여_31세,2019년02월_여_32세,2019년02월_여_33세,2019년02월_여_34세,2019년02월_여_35세,2019년02월_여_36세,2019년02월_여_37세,2019년02월_여_38세,2019년02월_여_39세,2019년02월_여_40세,2019년02월_여_41세,2019년02월_여_42세,2019년02월_여_43세,2019년02월_여_44세,2019년02월_여_45세,2019년02월_여_46세,2019년02월_여_47세,2019년02월_여_48세,2019년02월_여_49세,2019년02월_여_50세,2019년02월_여_51세,2019년02월_여_52세,2019년02월_여_53세,2019년02월_여_54세,2019년02월_여_55세,2019년02월_여_56세,2019년02월_여_57세,2019년02월_여_58세,2019년02월_여_59세,2019년02월_여_60세,2019년02월_여_61세,2019년02월_여_62세,2019년02월_여_63세,2019년02월_여_64세,2019년02월_여_65세,2019년02월_여_66세,2019년02월_여_67세,2019년02월_여_68세,2019년02월_여_69세,2019년02월_여_70세,2019년02월_여_71세,2019년02월_여_72세,2019년02월_여_73세,2019년02월_여_74세,2019년02월_여_75세,2019년02월_여_76세,2019년02월_여_77세,2019년02월_여_78세,2019년02월_여_79세,2019년02월_여_80세,2019년02월_여_81세,2019년02월_여_82세,2019년02월_여_83세,2019년02월_여_84세,2019년02월_여_85세,2019년02월_여_86세,2019년02월_여_87세,2019년02월_여_88세,2019년02월_여_89세,2019년02월_여_90세,2019년02월_여_91세,2019년02월_여_92세,2019년02월_여_93세,2019년02월_여_94세,2019년02월_여_95세,2019년02월_여_96세,2019년02월_여_97세,2019년02월_여_98세,2019년02월_여_99세,2019년02월_여_100세 이상
0,전국  (0000000000),51829538,51829538,311415,356047,403065,439617,439816,438231,485989,475085,479993,446948,464795,498533,455024,437602,465467,491722,490273,544436,628750,624344,633598,666771,678688,702925,709053,707033,722143,702326,639257,635107,626897,618409,624991,646315,651556,736834,812418,844698,833743,834502,746055,773515,759770,786950,850920,894428,895151,932079,932998,913110,933257,854405,837725,842113,842257,772401,861471,903001,934379,863883,779887,760140,702733,699608,642576,523824,565385,444430,438025,447507,440380,435459,393564,299857,330395,312941,396808,339444,282496,283196,255715,228490,209818,188516,165902,135277,117433,95218,77863,68033,54921,43500,31433,23391,17086,14956,12520,8035,5460,3861,19171,25866255,25866255,159891,183292,206300,225501,225138,224230,249264,244039,246925,230337,239299,256177,235267,226580,240951,255390,255467,283403,327893,325682,330735,345672,356064,370785,377665,376208,381627,368478,335554,334322,326785,319276,321923,333111,334777,376973,414733,430176,425373,424838,379920,391406,388141,398517,432909,450227,457357,476634,474494,461631,469814,426081,431236,425155,426600,393427,438411,452710,463797,427203,388793,379402,347889,340767,314998,253434,272741,214122,209493,212716,208856,203565,183454,137368,146711,134225,173685,143498,115938,113599,99783,86591,76291,65850,55095,42932,35360,26694,20154,17284,13241,9961,6900,4825,3846,3262,2784,1728,1217,938,4494,25963283,25963283,151524,172755,196765,214116,214678,214001,236725,231046,233068,216611,225496,242356,219757,211022,224516,236332,234806,261033,300857,298662,302863,321099,322624,332140,331388,330825,340516,333848,303703,300785,300112,299133,303068,313204,316779,359861,397685,414522,408370,409664,366135,382109,371629,388433,418011,444201,437794,455445,458504,451479,463443,428324,406489,416958,415657,378974,423060,450291,470582,436680,391094,380738,354844,358841,327578,270390,292644,230308,228532,234791,231524,231894,210110,162489,183684,178716,223123,195946,166558,169597,155932,141899,133527,122666,110807,92345,82073,68524,57709,50749,41680,33539,24533,18566,13240,11694,9736,6307,4243,2923,14677
1, 서울특별시  (1100000000) ,9770638,9770638,53738,59599,65815,70726,70037,69000,76377,73745,75639,70189,74217,80273,74774,71529,78329,82561,82083,90416,107254,109552,114315,122473,129497,141673,150625,156258,165662,165771,152776,151006,150177,144503,144300,145260,142644,157624,164934,168159,162843,162014,141538,145260,144326,146145,158029,165333,168391,176426,175457,169300,167962,154449,147478,149781,151916,141921,152687,159184,167176,157349,145519,142867,132352,135608,123861,103339,110202,83062,85623,88133,85983,86008,79560,60652,63418,59401,72043,60979,49561,47432,42445,37293,33253,29705,25250,20503,17751,14506,12100,10729,8923,7199,5374,3972,2927,2813,2260,1565,1180,880,5932,4773605,4773605,27977,30473,33735,36145,35828,35485,38974,37925,38807,35929,38053,41394,38588,37047,40363,42612,42298,46651,55182,55520,56854,59790,63131,68667,73826,77022,82134,82034,75863,75597,74771,71690,71656,72626,71472,79835,82472,84503,81726,80764,70369,71587,71936,72378,78761,81076,83793,88153,86966,83872,82717,75035,74149,73792,74823,70127,75290,77398,79867,75019,69997,68557,62715,63794,58664,48620,52010,39029,40445,40887,40127,39449,36468,27929,29156,26746,33542,27660,22123,20718,18029,15403,13118,11356,9201,7156,6000,4509,3517,3110,2404,1805,1320,900,740,744,596,427,352,258,1497,4997033,4997033,25761,29126,32080,34581,34209,33515,37403,35820,36832,34260,36164,38879,36186,34482,37966,39949,39785,43765,52072,54032,57461,62683,66366,73006,76799,79236,83528,83737,76913,75409,75406,72813,72644,72634,71172,77789,82462,83656,81117,81250,71169,73673,72390,73767,79268,84257,84598,88273,88491,85428,85245,79414,73329,75989,77093,71794,77397,81786,87309,82330,75522,74310,69637,71814,65197,54719,58192,44033,45178,47246,45856,46559,43092,32723,34262,32655,38501,33319,27438,26714,24416,21890,20135,18349,16049,13347,11751,9997,8583,7619,6519,5394,4054,3072,2187,2069,1664,1138,828,622,4435
2, 부산광역시  (2600000000) ,3436230,3436230,17883,20986,23913,26448,26049,25830,28371,27650,27532,25158,25927,27866,25181,24607,26476,28439,28450,32124,37359,37731,39047,42222,44759,46819,47574,47180,47485,45532,40652,40796,39175,37954,38068,39032,39878,45518,50015,53659,53727,53604,46949,47547,45541,48359,52405,55301,55746,57475,58746,57827,59665,56336,54303,55340,55035,52226,61208,65263,68995,64169,59783,59496,56706,57610,52662,43833,46625,39705,36735,37559,37445,35373,31108,22701,26878,24951,29906,24906,21413,20318,17687,15466,13944,12274,10596,8462,7409,6012,4644,4208,3460,2799,1844,1387,1029,821,676,456,301,233,1697,1689253,1689253,9119,10912,12130,13648,13491,13236,14588,14142,14097,13044,13294,14311,13001,12757,13645,14856,14838,16690,19659,19811,20377,21671,23487,24743,25276,25300,25054,23843,21191,21341,20202,19308,19650,20089,20327,23127,25520,27177,27308,27338,23996,24195,23180,24359,26360,27483,28181,28718,29083,28465,29155,27160,26883,26835,26708,25603,29747,31069,32792,30439,28773,28768,27287,26806,25785,20765,21931,18755,17500,17493,17413,16278,14509,10536,12161,11078,13447,10659,8967,8329,7039,5977,5163,4301,3517,2744,2185,1664,1199,1053,790,581,401,268,222,168,155,97,58,62,360,1746977,1746977,8764,10074,11783,12800,12558,12594,13783,13508,13435,12114,12633,13555,12180,11850,12831,13583,13612,15434,17700,17920,18670,20551,21272,22076,22298,21880,22431,21689,19461,19455,18973,18646,18418,18943,19551,22391,24495,26482,26419,26266,22953,23352,22361,24000,26045,27818,27565,28757,29663,29362,30510,29176,27420,28505,28327,26623,31461,34194,36203,33730,31010,30728,29419,30804,26877,23068,24694,20950,19235,20066,20032,19095,16599,12165,14717,13873,16459,14247,12446,11989,10648,9489,8781,7973,7079,5718,5224,4348,3445,3155,2670,2218,1443,1119,807,653,521,359,243,171,1337
3, 대구광역시  (2700000000) ,2458138,2458138,13614,16044,18357,19961,19994,19797,22194,21666,21888,20175,21236,23091,21169,21137,22220,24404,23953,27306,31847,31153,31247,34059,34452,35437,34710,34139,34232,32394,29090,29084,27299,26860,26804,27723,27592,31716,35560,37237,37281,37631,33387,35210,35699,37123,40338,42511,43358,44776,45096,45200,46402,44138,41745,42165,42085,38412,43548,44895,45275,43231,36577,36470,34919,33517,30308,26361,28753,23847,21554,22447,22628,21040,17085,12705,15486,15698,18992,15660,13321,13319,11581,10324,9427,8481,7465,5945,5236,4175,3180,2586,2160,1662,1231,876,647,493,387,283,192,131,642,1217209,1217209,6959,8236,9410,10187,10207,10071,11428,11100,11286,10473,11035,11775,11098,11060,11644,12839,12738,14470,16830,16546,16756,17959,18276,19002,18980,18809,18656,17617,15845,15847,14880,14361,14263,14620,14463,16044,17711,18533,18570,18689,16658,17450,17876,18362,19868,20651,21374,22126,22144,22070,22889,21448,20956,20496,20579,19073,21478,22097,21926,20718,18062,17964,17120,15717,14651,12360,13229,11195,10111,10472,10243,9523,7678,5654,6675,6483,8234,6491,5320,5198,4513,3785,3437,2955,2565,1874,1651,1199,785,623,518,381,261,191,122,108,84,55,37,23,150,1240929,1240929,6655,7808,8947,9774,9787,9726,10766,10566,10602,9702,10201,11316,10071,10077,10576,11565,11215,12836,15017,14607,14491,16100,16176,16435,15730,15330,15576,14777,13245,13237,12419,12499,12541,13103,13129,15672,17849,18704,18711,18942,16729,17760,17823,18761,20470,21860,21984,22650,22952,23130,23513,22690,20789,21669,21506,19339,22070,22798,23349,22513,18515,18506,17799,17800,15657,14001,15524,12652,11443,11975,12385,11517,9407,7051,8811,9215,10758,9169,8001,8121,7068,6539,5990,5526,4900,4071,3585,2976,2395,1963,1642,1281,970,685,525,385,303,228,155,108,492
4, 인천광역시  (2800000000) ,2956063,2956063,18743,20473,23396,25642,25906,25620,28111,27868,27811,26157,26934,28897,26194,25148,26388,28167,27511,31078,35360,35255,35655,38246,39445,41598,43005,43628,44631,43834,39547,38592,37774,36521,37018,38398,38686,43845,48474,50911,49654,49975,44482,45646,44176,45957,49660,51761,52198,53921,54108,52851,54527,49938,49524,50715,51817,47388,52455,54346,54881,50226,45495,43168,38473,38057,33880,27170,28887,20769,21258,21995,21508,21402,19856,14727,15232,14747,17980,15254,12510,12444,11453,10026,9336,8502,7312,6125,5286,4300,3678,3189,2673,2044,1578,1129,948,675,606,403,271,199,845,1482440,1482440,9557,10657,11870,13119,13268,13058,14469,14357,14282,13438,13751,14765,13577,12895,13609,14517,14201,16097,18229,18455,18566,19720,20616,21565,22745,22995,23259,22820,20687,20132,19538,18878,19111,19950,19989,22418,24911,26190,25539,25897,22746,23347,22765,23656,25482,25990,26668,27401,27285,26351,26887,24531,24914,25336,25883,24084,26626,27474,27658,25397,22970,21731,19331,18752,16832,13201,14259,10253,10426,10640,10479,10131,9223,6789,6903,6551,7812,6412,5051,4947,4400,3759,3261,2982,2390,1890,1474,1149,892,762,645,475,330,222,185,177,152,81,75,59,209,1473623,1473623,9186,9816,11526,12523,12638,12562,13642,13511,13529,12719,13183,14132,12617,12253,12779,13650,13310,14981,17131,16800,17089,18526,18829,20033,20260,20633,21372,21014,18860,18460,18236,17643,17907,18448,18697,21427,23563,24721,24115,24078,21736,22299,21411,22301,24178,25771,25530,26520,26823,26500,27640,25407,24610,25379,25934,23304,25829,26872,27223,24829,22525,21437,19142,19305,17048,13969,14628,10516,10832,11355,11029,11271,10633,7938,8329,8196,10168,8842,7459,7497,7053,6267,6075,5520,4922,4235,3812,3151,2786,2427,2028,1569,1248,907,763,498,454,322,196,140,636
5, 광주광역시  (2900000000) ,1459208,1459208,8639,10199,11944,13022,13327,13443,15190,14847,15204,14221,14867,16184,14871,14341,15280,16691,16574,18795,21593,21315,21501,22503,22454,22441,21664,21046,20756,19233,17362,16762,16383,16195,16467,17304,17717,20667,23429,23897,23143,24001,21682,22568,23005,22616,25528,25944,26309,26972,26698,25371,26664,24288,23911,23576,22122,21558,21986,22092,24121,22116,19487,18887,16397,16459,15057,12116,13097,11511,11396,11886,11029,11135,10372,7923,8205,7062,10184,8316,6753,6571,5961,5430,4584,4273,3868,3083,2618,2119,1810,1729,1277,950,749,546,350,348,282,197,122,94,376,722689,722689,4458,5278,6130,6664,6864,6837,7937,7699,7726,7392,7614,8435,7714,7446,7899,8785,8603,9726,11282,11081,11171,11761,11730,11654,11483,11209,10905,10024,8957,8774,8377,8268,8351,8839,9020,10528,11902,11954,11501,11906,10758,11130,11521,11257,12744,12766,13112,13262,13350,12672,13136,12032,12067,11622,11064,10720,10989,10808,11798,10729,9318,9184,8008,7911,7208,5691,6069,5430,5287,5458,5138,4994,4815,3556,3622,3023,4600,3510,2700,2598,2418,2030,1652,1476,1314,955,776,593,412,475,290,217,149,105,61,70,52,27,16,19,41,736519,736519,4181,4921,5814,6358,6463,6606,7253,7148,7478,6829,7253,7749,7157,6895,7381,7906,7971,9069,10311,10234,10330,10742,10724,10787,10181,9837,9851,9209,8405,7988,8006,7927,8116,8465,8697,10139,11527,11943,11642,12095,10924,11438,11484,11359,12784,13178,13197,13710,13348,12699,13528,12256,11844,11954,11058,10838,10997,11284,12323,11387,10169,9703,8389,8548,7849,6425,7028,6081,6109,6428,5891,6141,5557,4367,4583,4039,5584,4806,4053,3973,3543,3400,2932,2797,2554,2128,1842,1526,1398,1254,987,733,600,441,289,278,230,170,106,75,335
6, 대전광역시  (3000000000) ,1487605,1487605,8872,10574,12105,13181,12993,13206,14332,14334,14090,13472,14126,15387,14015,13544,14673,15594,15474,17111,19799,19554,20283,21444,22064,22880,22417,21951,22439,21097,19685,19041,18519,18341,18393,18754,18782,20584,23164,23920,23510,23209,21717,22393,22268,22990,24930,26757,26198,27360,27162,27107,28008,24529,23668,23215,23962,20569,23938,25668,26388,23964,20697,20881,19429,19057,17739,13580,14317,11713,11466,11565,11287,10391,9634,7405,8093,7693,9682,8259,6229,6664,6120,5475,4921,4412,3919,3299,2810,2330,1834,1573,1323,1100,719,571,376,366,264,189,122,70,327,743135,743135,4540,5499,6202,6770,6746,6753,7328,7411,7278,6885,7330,7907,7236,7028,7643,8031,8128,8968,10306,10136,10492,10886,11405,12100,11989,11766,12009,11114,10516,10325,9889,9752,9649,9646,9809,10495,11794,11972,11883,11626,10782,11068,11100,11424,12426,13222,13078,13853,13602,13529,13845,12023,12040,11579,11925,10354,11943,12812,12913,11618,10185,10357,9699,9201,8598,6639,6968,5666,5556,5539,5303,4945,4538,3462,3603,3304,4293,3583,2539,2726,2429,2151,1801,1528,1328,1069,899,676,501,379,338,273,174,129,82,71,54,48,25,21,77,744470,744470,4332,5075,5903,6411,6247,6453,7004,6923,6812,6587,6796,7480,6779,6516,7030,7563,7346,8143,9493,9418,9791,10558,10659,10780,10428,10185,10430,9983,9169,8716,8630,8589,8744,9108,8973,10089,11370,11948,11627,11583,10935,11325,11168,11566,12504,13535,13120,13507,13560,13578,14163,12506,11628,11636,12037,10215,11995,12856,13475,12346,10512,10524,9730,9856,9141,6941,7349,6047,5910,6026,5984,5446,5096,3943,4490,4389,5389,4676,3690,3938,3691,3324,3120,2884,2591,2230,1911,1654,1333,1194,985,827,545,442,294,295,210,141,97,49,250
